col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,class
1.0000000000,1.0000000000,0.8590362060,0.9278245360,0.2528656220,0.2988383110,0.1705213000,0.7359360410,0.4283254280,0.5679469420,0.4743696000,0.2456748550,0.1042258650,0.8690907030,0.9975184960,0.4486200770,0.3075217870,0.8583103650,0.7969972400,0.8698930380,0.0000000000
1.0000000000,2.0000000000,0.6060410250,0.4577283630,0.3594484230,0.3069573770,0.8433307670,0.9348506610,0.4445724880,0.8280149250,0.2966177530,0.6168699020,0.9757855810,0.9143436670,0.8452471420,0.8641518680,0.3467126890,0.3565734170,0.4384471890,0.5122561440,1.0000000000
1.0000000000,3.0000000000,0.9975997770,0.3732384870,0.5173993560,0.5049925460,0.6189033360,0.6055708230,0.7462253300,0.1959282920,0.8156669350,0.6793550280,0.8034130760,0.6439951610,0.7184411330,0.9247750740,0.3153714060,0.2506423710,0.2856355270,0.3658579640,1.0000000000
1.0000000000,4.0000000000,0.7834078590,0.1040553140,0.1975326950,0.4218371590,0.7420556680,0.4908278820,0.0055254370,0.3921232670,0.0100148950,0.4714627000,0.5978789030,0.7616587520,0.3627505610,0.9128190940,0.9779711750,0.8459212270,0.6994309320,0.4759867350,1.0000000000
1.0000000000,5.0000000000,0.4062495310,0.5131992970,0.0618115770,0.6358367190,0.8447975170,0.4415022270,0.1919264510,0.4875461160,0.3585335810,0.5515432350,0.7438765190,0.3123494340,0.6502228330,0.5222610160,0.0435447650,0.3766601110,0.2800977590,0.1322828760,1.0000000000
1.0000000000,6.0000000000,0.0413794700,0.6290259380,0.3033801050,0.8134075720,0.2228171230,0.9712060330,0.6097782900,0.6478038590,0.7379138730,0.4409432070,0.0359823660,0.6158676670,0.0174871840,0.9323195150,0.3293180380,0.9541227760,0.1353789150,0.2948047960,1.0000000000
1.0000000000,7.0000000000,0.1610500680,0.5488384980,0.1535834560,0.6544153970,0.1403462130,0.7966458870,0.4058396240,0.6626356250,0.0494266850,0.5785194940,0.2648546830,0.9592173730,0.6981068320,0.4673589490,0.6370776960,0.0112513310,0.1473251570,0.2138142470,1.0000000000
1.0000000000,8.0000000000,0.4152989860,0.8987313630,0.9318217630,0.9166479390,0.3991056380,0.0094451150,0.8462574600,0.6837725400,0.3973064570,0.8867680870,0.5224278470,0.6947735650,0.8865223180,0.4116728830,0.4811080540,0.9265463700,0.0264308700,0.0927395520,1.0000000000
1.0000000000,9.0000000000,0.1667578780,0.3529718560,0.9881206110,0.2870703170,0.5636256000,0.4027078750,0.3809317330,0.4791912380,0.0601652940,0.2365244450,0.2904837080,0.3918330720,0.2549443020,0.4883995860,0.0536835650,0.8622256040,0.4150551390,0.4871258990,1.0000000000
1.0000000000,10.0000000000,0.6556260790,0.4139307170,0.8052884780,0.1634858640,0.8619016950,0.9475945320,0.5465636760,0.4261410060,0.4170803090,0.9456095740,0.3253875090,0.6665268080,0.3742700550,0.1002913510,0.2132902800,0.2228596710,0.0072862130,0.4200273620,1.0000000000
1.0000000000,11.0000000000,0.5900079770,0.2936924120,0.4234978440,0.3298034630,0.4578377000,0.8297822960,0.4977667350,0.1594403340,0.9711218650,0.4923425380,0.0842689720,0.9743339480,0.9264239090,0.2954259190,0.8042124520,0.8708400090,0.5462950230,0.8848710790,1.0000000000
